City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Kavieng,PG,2021-11-20 16:31:34,-2.5744,150.7967,82.06,74,52,6.35
160,Vila Franca Do Campo,PT,2021-11-20 16:30:06,37.7167,-25.4333,68.41,67,77,15.26
161,Tura,IN,2021-11-20 16:29:19,25.5198,90.2201,63.48,76,6,3.15
162,Ha Tinh,VN,2021-11-20 16:31:35,18.3333,105.9,72.59,93,55,2.26
163,Carnarvon,AU,2021-11-20 16:31:35,-24.8667,113.6333,71.67,83,75,11.5
164,Yuncheng,CN,2021-11-20 16:31:36,35.0231,110.9928,45.86,81,96,7.27
165,Paracatu,BR,2021-11-20 16:31:34,-17.2222,-46.8747,77.16,73,100,2.98
166,Corrente,BR,2021-11-20 16:31:37,-3.7367,-43.3394,99.45,30,77,2.17
167,Kahului,US,2021-11-20 16:31:38,20.8947,-156.47,76.84,82,20,6.91
168,Malko Tarnovo,BG,2021-11-20 16:31:39,41.9833,27.5333,49.98,81,43,1.39
169,Bintulu,MY,2021-11-20 16:31:39,3.1667,113.0333,79.21,100,40,0.0
170,Salisbury,GB,2021-11-20 16:31:40,51.0693,-1.7957,51.66,86,90,5.75
171,Bilma,NE,2021-11-20 16:31:41,18.6853,12.9164,84.69,16,93,4.09
172,Cherskiy,RU,2021-11-20 16:31:42,68.75,161.3,-18.54,92,39,1.23
173,Ponta Delgada,PT,2021-11-20 16:31:43,37.7333,-25.6667,68.72,60,20,17.27
174,Cayenne,GF,2021-11-20 16:26:45,4.9333,-52.3333,86.04,75,75,3.0
175,Victoria,HK,2021-11-20 16:28:51,22.2855,114.1577,75.38,82,87,1.01
176,Copiapo,CL,2021-11-20 16:31:44,-27.3667,-70.3333,64.09,27,0,9.15
177,Ketchikan,US,2021-11-20 16:31:45,55.3422,-131.6461,34.27,93,90,0.0
178,Cabedelo,BR,2021-11-20 16:31:46,-6.9811,-34.8339,88.47,67,87,12.66
179,Kruisfontein,ZA,2021-11-20 16:31:46,-34.0033,24.7314,62.89,74,74,15.84
180,Nouadhibou,MR,2021-11-20 16:31:47,20.931,-17.0347,69.17,81,100,12.97
181,Viedma,AR,2021-11-20 16:31:48,-40.8135,-62.9967,86.14,18,2,10.47
182,Ho Chi Minh City,VN,2021-11-20 16:26:54,10.75,106.6667,77.02,100,40,0.0
183,La Asuncion,VE,2021-11-20 16:32:49,11.0333,-63.8628,94.73,52,99,12.66
184,Marawi,PH,2021-11-20 16:32:09,7.9986,124.2928,68.65,94,95,2.64
185,Henties Bay,NA,2021-11-20 16:32:50,-22.116,14.2845,60.24,86,35,11.25
186,Olinda,BR,2021-11-20 16:31:13,-8.0089,-34.8553,78.53,89,75,4.61
187,Sile,TR,2021-11-20 16:32:51,41.1754,29.6133,54.19,65,84,2.77
188,Marzuq,YE,2021-11-20 16:32:52,14.4,46.4667,69.71,44,52,7.0
189,Ust-Kuyga,RU,2021-11-20 16:32:52,70.0167,135.6,-14.24,99,98,2.59
190,Puerto Carreno,CO,2021-11-20 16:32:53,6.189,-67.4859,94.59,42,42,4.32
191,North Branch,US,2021-11-20 16:32:54,45.5113,-92.9802,41.97,76,100,9.17
192,Bluff,NZ,2021-11-20 16:32:54,-46.6,168.3333,52.32,95,100,6.4
193,Valparaiso,CL,2021-11-20 16:27:59,-33.0393,-71.6273,62.83,71,40,5.75
194,Ekibastuz,KZ,2021-11-20 16:32:56,51.6667,75.3667,16.75,63,90,8.52
195,Umm Lajj,SA,2021-11-20 16:32:56,25.0213,37.2685,75.22,58,49,6.31
196,Grindavik,IS,2021-11-20 16:32:57,63.8424,-22.4338,32.47,74,75,6.91
197,Rosia,RO,2021-11-20 16:32:57,45.8167,24.3167,49.68,62,90,2.3
198,Liptovsky Hradok,SK,2021-11-20 16:32:58,49.0396,19.7234,45.99,97,90,1.16
199,Vorukh,TJ,2021-11-20 16:32:59,39.8494,70.5838,39.2,29,0,8.72
200,Namatanai,PG,2021-11-20 16:32:59,-3.6667,152.4333,77.97,85,48,4.05
201,Sitio Novo Do Tocantins,BR,2021-11-20 16:32:18,-5.5183,-47.4611,89.53,66,75,11.5
202,Boende,CD,2021-11-20 16:33:00,-0.2167,20.8667,72.72,92,92,1.68
203,San Cristobal,VE,2021-11-20 16:33:01,7.7669,-72.225,77.18,37,55,3.94
204,Itarema,BR,2021-11-20 16:33:02,-2.9248,-39.9167,87.93,58,68,17.09
205,Dukat,RU,2021-11-20 16:33:02,62.55,155.55,-3.19,100,100,2.3
206,Lavrentiya,RU,2021-11-20 16:33:03,65.5833,-171.0,0.61,76,83,5.39
207,Alta Floresta,BR,2021-11-20 16:33:04,-9.8756,-56.0861,85.21,62,83,3.44
208,Constitucion,CL,2021-11-20 16:33:05,-35.3333,-72.4167,64.81,65,12,7.96
209,Ko Samui,TH,2021-11-20 16:33:06,9.5357,99.9357,82.74,77,31,7.96
210,Pangnirtung,CA,2021-11-20 16:33:06,66.1451,-65.7125,19.4,58,40,3.44
211,Maues,BR,2021-11-20 16:33:07,-3.3836,-57.7186,84.29,78,82,2.51
212,Sao Jose Da Coroa Grande,BR,2021-11-20 16:33:08,-8.8978,-35.1478,83.75,64,65,12.55
213,Duyure,HN,2021-11-20 16:33:08,13.6333,-86.8167,81.36,52,86,8.99
214,Pacific Grove,US,2021-11-20 16:31:07,36.6177,-121.9166,59.59,93,90,3.0
215,Hoquiam,US,2021-11-20 16:33:09,46.9809,-123.8893,43.0,95,90,5.75
216,Sterling,US,2021-11-20 16:31:07,39.0062,-77.4286,46.76,58,75,7.0
217,Salcininkai,LT,2021-11-20 16:33:10,54.3,25.3833,42.91,78,66,11.7
218,Geraldton,AU,2021-11-20 16:28:16,-28.7667,114.6,63.01,67,0,5.75
219,Ferrol,ES,2021-11-20 16:33:11,43.4832,-8.2369,63.36,79,26,7.94
220,Shubarshi,KZ,2021-11-20 16:33:12,48.5872,57.1869,26.87,83,100,12.5
221,Malatya,TR,2021-11-20 16:33:13,38.5,38.0,42.85,81,75,4.61
222,Aleksandrovsk-Sakhalinskiy,RU,2021-11-20 16:33:13,50.8975,142.1561,24.06,87,100,8.99
223,Mareeba,AU,2021-11-20 16:33:14,-17.0,145.4333,66.92,92,3,2.42
224,Fernie,CA,2021-11-20 16:33:14,49.5,-115.0687,35.62,90,100,5.91
225,Ust-Omchug,RU,2021-11-20 16:33:15,61.15,149.6333,-3.28,99,99,4.72
226,Talnakh,RU,2021-11-20 16:33:16,69.4865,88.3972,-16.37,91,31,8.72
227,Tocopilla,CL,2021-11-20 16:34:16,-22.092,-70.1979,70.16,59,31,8.61
228,Aswan,EG,2021-11-20 16:34:17,24.0934,32.907,74.5,31,0,5.75
229,Hovd,MN,2021-11-20 16:34:17,48.0056,91.6419,7.48,37,1,1.43
230,Charlottetown,CA,2021-11-20 16:31:32,46.2352,-63.1267,41.2,56,75,11.99
231,Pisco,PE,2021-11-20 16:34:18,-13.7,-76.2167,68.05,77,40,9.22
232,Goderich,CA,2021-11-20 16:34:19,43.7501,-81.7165,40.91,70,100,13.8
233,Bathsheba,BB,2021-11-20 16:34:20,13.2167,-59.5167,86.61,76,40,20.71
234,Krasnyy Chikoy,RU,2021-11-20 16:34:20,50.3643,108.7512,14.52,94,100,4.65
235,Ancud,CL,2021-11-20 16:34:21,-41.8697,-73.8203,60.33,73,61,10.78
236,Patos De Minas,BR,2021-11-20 16:34:21,-18.5789,-46.5181,78.22,70,98,6.33
